5100350,Algebra
5101110,Algorithmen und Datenstrukturen II
5171020,Artificial Intelligence and Machine Learning
6100820,English for E-Commerce
5000440,Grundlagen Informatik
5003028,ABAP/4 Development Workbench
5071054,Angewandtes Forschungsprojekt 1
5100360,Analysis
5002130,Business Software
5100430,Angewandte Numerik
5100020,Algorithmen und Datenstrukturen I
5000420,Grundlagen Informatik und E-Commerce
5071038,Ausgewählte Kapitel der Embedded Systems
5102200,Betriebssysteme
5003188,Blockchain und Smart Contracts
5003130,Autonomous Cars - Autonomes Fahren
6102110,Content Engineering
5101700,Datenbanken II
5003804,Cloud Native Enterprise Java 
5001310,Datenbanken
5003146,Content-Marketing und Konsumpsychologie
5001820,Business Technologies
5003802,Defensive Security
5101910,Datenkommunikation
5081040,Digitale Transformation
5000430,Grundlagen der Wirtschaftsinformatik
5000910,English for IT
5003803,Entwicklung digitaler und nachhaltiger Geschäftsmodelle
5101730,Datenmanagement und Data Science
5000510,Grundlagen der Wirtschaftswissenschaften
5100720,Grundlagen der Technischen Informatik
5100620,Grundlagen der Betriebswirtschaftslehre
5001900,IT-Organisation und IT-Controlling
5003230,IT-Projektmanagement
5003095,IT-Risikomanagement
5101010,Grundlagen der Theoretischen Informatik
5000730,Innovationsmanagement und Unternehmensgründung
5003199,Linux/UNIX-Fundamentals
5002030,Marketing und Vertrieb
6100310,Mathematik I
5003220,Informations- und Technologiemanagement
5081030,Ethical Leadership
5000340,Mathematik I
5001710,Logistik
6100320,Mathematik II
5100420,Mathematische Software in der Informatik
5003133,Logistikmanagement im E-Commerce
6102210,Online-Marketing
5000350,Mathematik II
6102310,Oberflächengestaltung und Usability
5100240,Programmierprojekt
5171512,Cloud Native
5003065,Online-Marketing in der Praxis
5000130,Programmieren I
5071058,Offensive Security
6102010,Rechnungswesen
5100220,Programmieren II
5003167,SEO in der Praxis
5102810,Software Engineering II
5001110,Softwareentwicklung
5001010,Softwareentwicklungsprojekt
5074210,Theoretische Informatik
5007212,Vertiefung II MS: Mobile and Ubiquitous Design
5000610,Rechnungswesen und Steuern
5003143,Shopware als Plattform
5107201,Vertiefung II MI: Digitale Medien- und Multimedia-Techniken
5101820,Rechnerarchitektur
5074130,Verteilte Systeme
6101810,Statistik
5001610,Statistik und Operations Research
5101400,Statistik
5104211,Vertiefung I IS: IT-Sicherheit
5081504,Web-Controlling mit Google Analytics und Tag Management
5105213,Vertiefung II SmS: Internet of Things
6104201,Vertiefung II WM: Traffic-Management und Website Optimierung
6108100,Vertiefungsseminar SHS
5104110,Vertiefungsseminar IS
5171010,Mathematical and Theoretical Foundations of AI
5003189,Videocontent im E-Commerce
6100120,Web-Programmierung I
5002810,Wirtschafts- und IT-Recht
5171070,Trustworthy AI and AI Regulations
5077120,Wissenschaftsseminar
